stop_id,stop_code
199,BENN
344,ALEX
345,YONK
346,NIAG
347,OCHR
340,WVHO
341,SARN
342,MJLI
343,SLAM
348,OROK
298,MSNH
299,WNDG
296,AGAS
297,THIB
294,TELK
295,SMRB
292,TIMB
293,OBRI
290,SIPI
195,CEDA
197,HERC
191,ROCH
190,BDNC
193,BRMT
192,LEVA
270,USKX
273,BBAR
274,HOPE
276,OSKR
277,CHIL
278,AMRY
449,EDMO
448,GRNG
442,HUTT
441,FITZ
440,FING
446,DYCE
445,TOGO
444,JONQ
108,SAVL
109,ALWB
102,AUDN
103,FERL
100,KAMS
101,MUDR
106,ARMG
107,FLTL
104,GSTO
105,COLL
39,SANF
38,STIT
33,BIMA
32,SSCC
31,TRRC
37,PBDT
36,VDRH
35,BRKV
34,MALT
438,DNST
439,CHBD
436,OAKV
437,HERV
435,CHUR
432,FFRA
433,LTUQ
339,VDRY
338,BRNL
335,WEIR
333,PENN
332,DORV
6,GEOR
99,NAKI
98,CARA
91,HLSP
90,BIRD
93,LNDN
92,OBAX
95,LLAC
94,SHPN
96,HBAY
153,OTTM
555,XYUL
238,ATKL
235,MUNK
236,WAIN
237,NONS
230,NEME
231,UNIT
232,BUTT
1,GRIM
614,SYRA
155,TREM
147,CRSM
144,RDDT
142,MNKI
140,FARL
141,GLNA
616,RVRS
617,OTTW
148,HOUS
149,TPAS
132,GMRE
131,CNYK
130,SPAU
134,HRDL
492,CHNY
24,STGS
25,SCHE
26,MIQK
27,FALR
21,JASP
22,AMHS
28,ROUS
29,EARC
407,DESS
406,TURN
405,DRLL
404,LBOU
403,NFNY
401,CORM
629,SFOY
409,DEVN
408,LRIE
628,QBEC
379,MCGR
378,LWTH
371,LYDD
370,MIKA
373,PIKW
375,MCLI
377,SMTF
376,MSBI
618,WDON
392,CBAT
88,ELSA
390,CLOV
397,BLGC
395,MUSK
394,LNGL
82,CHRT
80,CLWT
87,CAUS
84,CHLO
7,STRF
170,TPIS
245,BRQU
244,ALZL
247,VBRU
246,RAWE
241,EVAN
240,POUG
615,BIGG
249,PITS
248,POGA
458,PRUP
459,SHWN
621,SUDB
620,HLFX
450,GUIL
453,HEBV
454,PGEO
455,VKNG
456,OPHR
457,JOLI
179,LPRS
178,CBRG
177,KOND
176,KWIN
173,AMST
172,DORR
171,MCTC
198,RCLK
183,LEDW
182,MWWC
180,COQU
2,CHEL
187,COPE
184,LARC
185,SCAT
189,ALBY
11,SMYS
10,TRUR
12,MCTN
15,BISC
14,STRR
19,RGRV
18,JACR
322,BRMP
323,INGR
320,RAPB
321,CANN
326,BUDD
327,RDLX
324,BOLK
328,RMSK
329,STRL
201,BUFX
200,GANA
203,LDAR
202,SACK
205,CHAP
204,BRTL
207,MCBR
206,ELMA
209,JACC
208,WEKU
76,WSTR
74,GOGA
73,PROC
72,FELX
71,RUEL
70,GUEL
79,FOLE
78,GLNC
8,VCVR
120,NEWY
121,SMMC
125,SIGN
126,GARN
127,FRNZ
128,WOMR
129,FORS
414,DOMC
415,BLVL
417,HIBB
410,DALT
411,VMLC
412,DERI
413,TRNJ
418,DUNL
419,CSLM
136,GOAT
319,IRQC
318,BOYD
313,THKP
312,CART
310,BTRS
317,PLUM
315,RBRT
314,PIPN
139,GILL
138,LPOC
369,BGQU
366,UTIC
367,OSHA
360,NICH
361,BEND
380,MCCR
381,MEGI
383,LUKE
384,RTAC
386,LOOS
387,WBDN
388,WNPG
576,FALL
60,SPAR
61,KITW
63,HNPN
64,HRVY
65,LAFO
67,ILFO
252,PATE
253,MNET
250,CARI
256,PACI
257,VLMT
254,EDSN
255,PRLL
506,MELV
503,THOM
630,DRMV
631,SHYA
632,CASS
633,ANJO
636,AMYO
637,SWAN
461,WILD
460,SENN
168,WGWC
169,GVIE
164,KORM
165,LEVN
166,STAD
167,MLCH
160,KPTC
161,KISK
162,BRTF
163,GAGN
600,ALDR
9,PHOP
357,BUFF
356,ARNO
355,CBTN
353,ODHI
352,ODAY
351,COTO
350,RAPX
216,CASY
217,TRTC
214,GIRD
215,MJBG
212,MCCA
210,CROT
218,MTGM
289,DAUP
288,NBND
4,SUDJ
281,SINM
280,WYOM
282,WDST
285,KATZ
284,TIDL
287,SHEA
286,STRN
263,HINT
262,PNTN
261,RSRV
260,HUDS
267,MIRA
266,SULT
265,RAMS
264,WNTB
269,ASHN
268,BLUE
59,WSHG
58,KGON
55,PRSS
54,MMGY
51,LDES
50,RBLN
52,LIZO
259,ROME
115,RCHN
68,MCKC
117,KAMN
116,WHTR
111,RLRX
110,MTPD
113,CAPR
69,PARS
119,TRTO
118,SASK
429,ESHR
420,KINO
423,DIXX
425,DUPL
424,ENDA
427,GLBP
426,PARE
308,WILR
309,NAPN
301,VERE
303,OSKL
305,UFRZ
306,SANM
307,SMTR
145,ABBO
229,CHES
228,WATR
227,NHAZ
226,MTRL
224,PLPX
222,RHIN
221,AMQU
220,AZIL
114,KITC
391,LOCH
89,CANO
151,HALC
601,CHAT
157,BRGR
602,CWLL
159,ENDV
158,HOCK
83,FERG
634,SAUV
399,NCLC
48,GRGC
49,WYMT
46,LMAL
47,SMQU
44,SLKT
45,CHER
42,SAYA
43,SJUS
41,SPRJ
638,SNKR
639,FRKS
